Date,Actual_Sales,Forecasted_Sales,Lower_Bound,Upper_Bound,Is_Forecast,Sales_Type,Year,Month,Month_Name,Day_of_Week,Week_of_Year,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Store,StoreType,Assortment,CompetitionDistance,DayOfWeek,IsWeekend,Year_detail,Month_detail,Total_Stores_Open,Avg_Customers_Per_Store,Sales_Per_Customer,Promo_Penetration,Holiday_Penetration
2013-01-01,97235.0,338198.5985417597,-1204902.561468945,1913135.035395605,False,Historical,2013,1,January,Tuesday,1,97235,19491,1.0,0.0,1.0,1.0,17,b,b,2105.294117647059,1,0.0,2013,1,17,1146.5294117647059,4.98871273921297,0.0,1.0
2013-01-02,6949829.0,5718000.390802875,4186461.18601322,7327691.885081249,False,Historical,2013,1,January,Wednesday,1,6949829,834075,1.0,0.0,0.0,1.0,1111,a,a,5408.487848784878,2,0.0,2013,1,1111,750.7425742574258,8.332378982705393,0.0,0.0
2013-01-03,6347820.0,5365225.841902479,3785335.542433478,6786831.793640801,False,Historical,2013,1,January,Thursday,1,6347820,761040,1.0,0.0,0.0,0.9323715058611362,1109,a,a,5414.463480613165,3,0.0,2013,1,1109,686.2398557258791,8.340980763166193,0.0,0.0
2013-01-04,6638954.0,5722219.594954771,4082437.1611914937,7367340.261989579,False,Historical,2013,1,January,Friday,1,6638954,782137,1.0,0.0,0.0,0.9323104693140795,1108,a,a,5418.817689530686,4,0.0,2013,1,1108,705.8998194945848,8.488223930078746,0.0,0.0
2013-01-05,5951593.0,5837556.854531048,4252607.037362433,7494424.803461532,False,Historical,2013,1,January,Saturday,1,5951593,687472,1.0,0.0,0.0,0.1002710027100271,1107,a,a,5403.396567299006,5,1.0,2013,1,1107,621.0225835591689,8.657215130216212,0.0,0.0
2013-01-06,143904.0,3221.5766594791294,-1515298.2142758528,1646811.798442846,False,Historical,2013,1,January,Sunday,1,143904,26387,1.0,0.0,0.10526315789473684,0.15789473684210525,19,b,b,3766.315789473684,6,1.0,2013,1,19,1388.7894736842106,5.4535945730852315,0.0,0.10526315789473684
2013-01-07,10826848.0,8791405.460580425,7179395.633343512,10392717.170713108,False,Historical,2013,1,January,Monday,2,10826848,1058495,1.0,1.0,0.0,0.1003616636528029,1106,a,a,5406.998191681736,0,0.0,2013,1,1106,957.0479204339964,10.228530130043127,1.0,0.0
2013-01-08,8749437.0,7950860.525546346,6389555.887805594,9416638.385305122,False,Historical,2013,1,January,Tuesday,2,8749437,904564,1.0,1.0,0.0,0.10045248868778281,1105,a,a,5399.6108597285065,1,0.0,2013,1,1105,818.6099547511312,9.672546110612405,1.0,0.0
2013-01-09,7746603.0,7554690.205697441,5931097.875685723,9111517.851423291,False,Historical,2013,1,January,Wednesday,2,7746603,816709,1.0,1.0,0.0,0.10045248868778281,1105,a,a,5399.6108597285065,2,0.0,2013,1,1105,739.1031674208144,9.485144647603981,1.0,0.0
2013-01-10,7751485.0,7293371.829493049,5794953.871926708,8919220.239254218,False,Historical,2013,1,January,Thursday,2,7751485,844384,1.0,1.0,0.0,0.10045248868778281,1105,a,a,5399.6108597285065,3,0.0,2013,1,1105,764.1484162895928,9.180047229696441,1.0,0.0
2013-01-11,8039306.0,7726343.735581335,6105134.988479737,9354456.27975639,False,Historical,2013,1,January,Friday,2,8039306,877397,1.0,1.0,0.0,0.10045248868778281,1105,a,a,5399.6108597285065,4,0.0,2013,1,1105,794.0244343891403,9.162677784400904,1.0,0.0
2013-01-12,6017491.0,5789646.827713205,4089765.652358756,7416208.471262667,False,Historical,2013,1,January,Saturday,2,6017491,697757,1.0,0.0,0.0,0.0,1105,a,a,5399.6108597285065,5,1.0,2013,1,1105,631.4542986425339,8.624049633325068,0.0,0.0
2013-01-13,144052.0,130709.54837668128,-1437762.434630778,1675590.6559523377,False,Historical,2013,1,January,Sunday,2,144052,27044,1.0,0.0,0.0,0.0,18,b,b,2788.3333333333335,6,1.0,2013,1,18,1502.4444444444443,5.326578908445496,0.0,0.0
2013-01-14,5886788.0,6555584.527435751,4994573.341010134,8083091.967557948,False,Historical,2013,1,January,Monday,3,5886788,734601,1.0,0.0,0.0,0.0,1105,a,a,5399.6108597285065,0,0.0,2013,1,1105,664.7972850678733,8.013585606335957,0.0,0.0
2013-01-15,5512591.0,5776973.548153284,4120028.003344928,7328627.5996820675,False,Historical,2013,1,January,Tuesday,3,5512591,690047,1.0,0.0,0.0,0.0,1105,a,a,5399.6108597285065,1,0.0,2013,1,1105,624.4769230769231,7.988718159777522,0.0,0.0
2013-01-16,5293020.0,5440679.575359943,3847655.750626548,7111118.551131615,False,Historical,2013,1,January,Wednesday,3,5293020,660412,1.0,0.0,0.0,0.0,1105,a,a,5399.6108597285065,2,0.0,2013,1,1105,597.6579185520362,8.014724141899299,0.0,0.0
2013-01-17,5386564.0,5235060.16847744,3675263.292069652,6821143.645786866,False,Historical,2013,1,January,Thursday,3,5386564,673066,1.0,0.0,0.0,0.0,1107,a,a,5391.544715447155,3,0.0,2013,1,1107,608.0090334236676,8.003024963376548,0.0,0.0
2013-01-18,6137010.0,5721240.611767512,4212825.018533989,7330612.947995724,False,Historical,2013,1,January,Friday,3,6137010,740203,1.0,0.0,0.0,0.0,1106,a,a,5395.2622061482825,4,0.0,2013,1,1106,669.2613019891501,8.290982338628728,0.0,0.0
2013-01-19,6010192.0,6200650.086896294,4684958.938593833,7797886.933453804,False,Historical,2013,1,January,Saturday,3,6010192,679374,1.0,0.0,0.0,0.0,1107,a,a,5391.544715447155,5,1.0,2013,1,1107,613.7073170731708,8.846661779814948,0.0,0.0
2013-01-20,151600.0,558359.5578258634,-1151361.797417106,2303314.2936321083,False,Historical,2013,1,January,Sunday,3,151600,28040,1.0,0.0,0.0,0.0,19,b,b,2672.6315789473683,6,1.0,2013,1,19,1475.7894736842106,5.4065620542082735,0.0,0.0
2013-01-21,8761074.0,9396434.937914748,7820233.596592195,11038843.66132271,False,Historical,2013,1,January,Monday,4,8761074,884062,1.0,1.0,0.0,0.0,1107,a,a,5391.544715447155,0,0.0,2013,1,1107,798.6106594399278,9.910022147767917,1.0,0.0
2013-01-22,8320289.0,8642975.026917215,7155590.314892689,10181401.27290254,False,Historical,2013,1,January,Tuesday,4,8320289,868642,1.0,1.0,0.0,0.0,1107,a,a,5391.544715447155,1,0.0,2013,1,1107,784.6811201445348,9.57850184540927,1.0,0.0
2013-01-23,7746563.0,8326890.240212456,6687124.229105253,9963427.54884247,False,Historical,2013,1,January,Wednesday,4,7746563,821843,1.0,1.0,0.0,0.0,1107,a,a,5391.544715447155,2,0.0,2013,1,1107,742.4056007226739,9.425842892133899,1.0,0.0
2013-01-24,7439836.0,8135346.311716122,6519845.813462923,9711420.663323527,False,Historical,2013,1,January,Thursday,4,7439836,811738,1.0,1.0,0.0,0.0,1108,a,a,5398.925992779783,3,0.0,2013,1,1108,732.615523465704,9.165316887961387,1.0,0.0
2013-01-25,7780789.0,8632062.823726194,6895826.284517314,10197249.221319867,False,Historical,2013,1,January,Friday,4,7780789,847691,1.0,1.0,0.0,0.0,1108,a,a,5398.925992779783,4,0.0,2013,1,1108,765.0640794223826,9.178803361130411,1.0,0.0
2013-01-26,5848770.0,6756504.616924799,5051403.821577124,8303916.806297276,False,Historical,2013,1,January,Saturday,4,5848770,667571,1.0,0.0,0.0,0.0,1108,a,a,5398.925992779783,5,1.0,2013,1,1108,602.5009025270758,8.761270336788147,0.0,0.0
2013-01-27,142848.0,1085895.2890679103,-478291.0891590183,2656321.1370130414,False,Historical,2013,1,January,Sunday,4,142848,27286,1.0,0.0,0.0,0.0,20,b,b,3888.5,6,1.0,2013,1,20,1364.3,5.235212196730925,0.0,0.0
2013-01-28,5878702.0,7145425.831653874,5595032.558988209,8633542.120600427,False,Historical,2013,1,January,Monday,5,5878702,736906,1.0,0.0,0.31978319783197834,0.0,1107,a,a,5404.354110207769,0,0.0,2013,1,1107,665.6784101174345,7.9775466613109405,0.0,0.31978319783197834
2013-01-29,5452668.0,5428633.132074677,3978556.20412316,7046295.569446215,False,Historical,2013,1,January,Tuesday,5,5452668,670523,1.0,0.0,1.0,0.0,1107,a,a,5404.354110207769,1,0.0,2013,1,1107,605.7118337850045,8.131962661981767,0.0,1.0
2013-01-30,5909779.0,5090735.028316457,3484463.626712078,6597861.252717605,False,Historical,2013,1,January,Wednesday,5,5909779,699110,1.0,0.0,1.0,0.0,1108,a,a,5401.534296028881,2,0.0,2013,1,1108,630.9657039711192,8.45328918195992,0.0,1.0
2013-01-31,7068567.0,4880484.917550757,3257394.8141509914,6420490.158028892,False,Historical,2013,1,January,Thursday,5,7068567,802356,1.0,0.0,1.0,0.019855595667870037,1108,a,a,5401.534296028881,3,0.0,2013,1,1108,724.1480144404333,8.809763995034624,0.0,1.0
2013-02-01,7203007.0,5375232.31332653,3873187.254678756,7000444.51723657,False,Historical,2013,2,February,Friday,5,7203007,821946,1.0,0.0,1.0,0.09558160504959423,1109,a,a,5416.943192064923,4,0.0,2013,2,1109,741.1596032461678,8.763357933489548,0.0,1.0
2013-02-02,6781741.0,5804696.511193155,4329885.73229298,7465091.119952968,False,Historical,2013,2,February,Saturday,5,6781741,746460,1.0,0.0,1.0,0.0,1109,a,a,5416.943192064923,5,1.0,2013,2,1109,673.092876465284,9.085203493824183,0.0,1.0
2013-02-03,171565.0,82281.27190352259,-1586339.881686593,1685050.625103619,False,Historical,2013,2,February,Sunday,5,171565,30349,1.0,0.0,1.0,0.0,19,b,b,4197.894736842105,6,1.0,2013,2,19,1597.3157894736842,5.653069293881182,0.0,1.0
2013-02-04,10333651.0,9013991.239490977,7495663.203807694,10693797.58338992,False,Historical,2013,2,February,Monday,6,10333651,1018386,1.0,1.0,1.0,0.19747520288548243,1109,a,a,5416.943192064923,0,0.0,2013,2,1109,918.2921550946799,10.147086664584942,1.0,1.0
2013-02-05,8841604.0,8210868.519796355,6582164.932122624,9773290.70374434,False,Historical,2013,2,February,Tuesday,6,8841604,911976,1.0,1.0,1.0,0.19747520288548243,1109,a,a,5416.943192064923,1,0.0,2013,2,1109,822.3408476104598,9.694996359553322,1.0,1.0
2013-02-06,8094803.0,7845190.463076279,6140231.3187032025,9462486.997541064,False,Historical,2013,2,February,Wednesday,6,8094803,868206,1.0,1.0,1.0,0.19747520288548243,1109,a,a,5416.943192064923,2,0.0,2013,2,1109,782.8728584310189,9.323597164728186,1.0,1.0
2013-02-07,7430076.0,7602620.302360883,6012833.2562683,9133828.103561016,False,Historical,2013,2,February,Thursday,6,7430076,821626,1.0,1.0,1.0,0.1976534296028881,1108,a,a,5417.797833935018,3,0.0,2013,2,1108,741.5397111913358,9.043136414865158,1.0,1.0
2013-02-08,7968566.0,8052429.107852546,6304750.090149227,9738060.489259886,False,Historical,2013,2,February,Friday,6,7968566,867065,1.0,1.0,1.0,0.19747520288548243,1109,a,a,5413.8503155996395,4,0.0,2013,2,1109,781.844003606853,9.190275238880592,1.0,1.0
2013-02-09,6161019.0,6051190.901369143,4474078.208028186,7648428.88080026,False,Historical,2013,2,February,Saturday,6,6161019,707682,1.0,0.0,1.0,0.0,1109,a,a,5413.8503155996395,5,1.0,2013,2,1109,638.1262398557259,8.705914520928891,0.0,1.0
2013-02-10,172564.0,281747.8668664422,-1281332.585891547,1859479.7941038923,False,Historical,2013,2,February,Sunday,6,172564,31698,1.0,0.0,1.0,0.0,18,b,b,2618.8888888888887,6,1.0,2013,2,18,1761.0,5.444002776200391,0.0,1.0
2013-02-11,5517060.0,6858685.060075121,5258767.912817726,8507075.818519728,False,Historical,2013,2,February,Monday,7,5517060,679056,1.0,0.0,1.0,0.23698884758364314,1076,a,a,5526.421933085502,0,0.0,2013,2,1076,631.092936802974,8.124602389199124,0.0,1.0
2013-02-12,5563503.0,6028773.816108593,4492006.429849904,7643066.921197958,False,Historical,2013,2,February,Tuesday,7,5563503,689894,1.0,0.0,1.0,0.23056057866184448,1106,a,a,5414.023508137432,1,0.0,2013,2,1106,623.7739602169981,8.064286687520111,0.0,1.0
2013-02-13,6175147.0,5641319.50008923,3935896.9912763177,7267840.73901751,False,Historical,2013,2,February,Wednesday,7,6175147,754477,1.0,0.0,1.0,0.22993688007213706,1109,a,a,5413.8503155996395,2,0.0,2013,2,1109,680.321911632101,8.184672296173376,0.0,1.0
2013-02-14,6422292.0,5378955.881489366,3780250.488912359,7022866.723248438,False,Historical,2013,2,February,Thursday,7,6422292,779567,1.0,0.0,1.0,0.22993688007213706,1109,a,a,5413.8503155996395,3,0.0,2013,2,1109,702.9458972046889,8.238280994449482,0.0,1.0
2013-02-15,6255053.0,5813034.5566404695,4295890.378418145,7376048.816678341,False,Historical,2013,2,February,Friday,7,6255053,747284,1.0,0.0,1.0,0.22972972972972974,1110,a,a,5410.693693693694,4,0.0,2013,2,1110,673.2288288288288,8.3703826122331,0.0,1.0
2013-02-16,6162142.0,6166203.773037645,4645471.342223441,7738973.583094628,False,Historical,2013,2,February,Saturday,7,6162142,704367,1.0,0.0,1.0,0.0,1110,a,a,5410.693693693694,5,1.0,2013,2,1110,634.5648648648648,8.748481970336487,0.0,1.0
2013-02-17,174467.0,358257.33853659,-1284497.5112888457,1989154.9718940395,False,Historical,2013,2,February,Sunday,7,174467,31943,1.0,0.0,1.0,0.0,19,b,b,2672.6315789473683,6,1.0,2013,2,19,1681.2105263157894,5.461822621544626,0.0,1.0
2013-02-18,10703641.0,9279138.023617717,7656587.060205748,10946626.47017663,False,Historical,2013,2,February,Monday,8,10703641,1055106,1.0,1.0,1.0,0.032403240324032405,1111,a,a,5409.099909991,0,0.0,2013,2,1111,949.6903690369037,10.144612010546808,1.0,1.0
