Year,Month,Sales_sum,Sales_mean,Customers_sum,Customers_mean,Promo_mean,StateHoliday_<lambda>,Store_nunique,Month_Year
2013,1,180132207,6239.64,20380423,705.96,0.38,0.13,1112,2013-01
2013,2,171534275,6428.6,19244468,721.23,0.42,1.0,1112,2013-02
2013,3,201180369,7212.83,21969462,787.66,0.56,0.09,1112,2013-03
2013,4,183431432,6579.32,20882365,749.01,0.48,0.0,1113,2013-04
2013,5,185411063,7076.22,20723886,790.93,0.48,0.01,1113,2013-05
2013,6,180702351,6467.05,20473046,732.7,0.4,0.33,1113,2013-06
2013,7,208843882,6923.15,22872045,758.21,0.48,0.78,1115,2013-07
2013,8,198042727,6595.93,22314232,743.19,0.44,0.13,1115,2013-08
2013,9,178053963,6363.39,20350031,727.28,0.4,1.0,1115,2013-09
2013,10,187662330,6473.35,21371258,737.19,0.38,0.03,1115,2013-10
2013,11,196170924,6904.51,21543868,758.27,0.39,0.83,1115,2013-11
2013,12,231710561,8613.46,23879341,887.67,0.41,0.34,1115,2013-12
2014,1,187752787,6539.4,20893187,727.71,0.38,0.48,1115,2014-01
2014,2,178924677,6678.04,19972290,745.43,0.42,1.0,1115,2014-02
2014,3,193019854,6654.02,21486733,740.72,0.42,0.86,1115,2014-03
2014,4,194544977,7226.78,21345653,792.93,0.46,0.0,1115,2014-04
2014,5,194693257,6948.12,21505750,767.49,0.44,0.0,1115,2014-05
2014,6,190047051,7250.66,20579912,785.16,0.44,0.0,1114,2014-06
2014,7,173892707,6891.48,19299298,764.84,0.48,0.48,934,2014-07
2014,8,163748475,6714.31,18516451,759.24,0.42,0.85,934,2014-08
2014,9,164516168,6756.59,18667949,766.68,0.46,0.0,934,2014-09
2014,10,164216398,6757.32,18734892,770.92,0.46,0.0,935,2014-10
2014,11,173327953,7539.6,18686232,812.83,0.61,0.0,935,2014-11
2014,12,202120592,8603.81,20800624,885.43,0.4,0.0,935,2014-12
2015,1,198843730,6913.18,21110481,733.95,0.57,0.0,1115,2015-01
2015,2,178275458,6660.27,19481381,727.81,0.41,0.87,1115,2015-02
2015,3,205631683,7071.24,21809641,749.99,0.46,0.32,1115,2015-03
2015,4,197918886,7349.11,21053991,781.78,0.46,0.0,1115,2015-04
2015,5,189143897,7308.5,20193848,780.29,0.43,0.0,1115,2015-05
2015,6,207363373,7295.62,21645129,761.54,0.45,0.09,1115,2015-06
2015,7,212322616,7033.34,22253888,737.18,0.48,1.0,1115,2015-07
