Date,Actual_Sales,Forecasted_Sales,Lower_Bound,Upper_Bound,Is_Forecast,Sales_Type,Year,Month,Month_Name,Day_of_Week,Week_of_Year
2013-01-01,97235.0,338198.5985417597,-1204902.561468945,1913135.035395605,False,Historical,2013,1,January,Tuesday,1
2013-01-02,6949829.0,5718000.390802875,4186461.1860132203,7327691.885081249,False,Historical,2013,1,January,Wednesday,1
2013-01-03,6347820.0,5365225.841902479,3785335.542433478,6786831.793640801,False,Historical,2013,1,January,Thursday,1
2013-01-04,6638954.0,5722219.594954771,4082437.1611914937,7367340.261989579,False,Historical,2013,1,January,Friday,1
2013-01-05,5951593.0,5837556.854531048,4252607.037362433,7494424.803461532,False,Historical,2013,1,January,Saturday,1
2013-01-06,143904.0,3221.5766594791294,-1515298.2142758528,1646811.798442846,False,Historical,2013,1,January,Sunday,1
2013-01-07,10826848.0,8791405.460580425,7179395.633343512,10392717.170713108,False,Historical,2013,1,January,Monday,2
2013-01-08,8749437.0,7950860.525546346,6389555.887805594,9416638.385305122,False,Historical,2013,1,January,Tuesday,2
2013-01-09,7746603.0,7554690.205697441,5931097.875685723,9111517.851423293,False,Historical,2013,1,January,Wednesday,2
2013-01-10,7751485.0,7293371.829493049,5794953.871926708,8919220.239254218,False,Historical,2013,1,January,Thursday,2
2013-01-11,8039306.0,7726343.735581335,6105134.988479737,9354456.27975639,False,Historical,2013,1,January,Friday,2
2013-01-12,6017491.0,5789646.827713205,4089765.6523587555,7416208.471262667,False,Historical,2013,1,January,Saturday,2
2013-01-13,144052.0,130709.54837668127,-1437762.434630778,1675590.6559523377,False,Historical,2013,1,January,Sunday,2
2013-01-14,5886788.0,6555584.527435751,4994573.341010134,8083091.967557948,False,Historical,2013,1,January,Monday,3
2013-01-15,5512591.0,5776973.548153284,4120028.003344928,7328627.5996820675,False,Historical,2013,1,January,Tuesday,3
2013-01-16,5293020.0,5440679.575359943,3847655.750626548,7111118.5511316145,False,Historical,2013,1,January,Wednesday,3
2013-01-17,5386564.0,5235060.16847744,3675263.2920696517,6821143.645786866,False,Historical,2013,1,January,Thursday,3
2013-01-18,6137010.0,5721240.611767512,4212825.018533989,7330612.947995724,False,Historical,2013,1,January,Friday,3
2013-01-19,6010192.0,6200650.086896294,4684958.938593833,7797886.933453804,False,Historical,2013,1,January,Saturday,3
2013-01-20,151600.0,558359.5578258634,-1151361.797417106,2303314.2936321083,False,Historical,2013,1,January,Sunday,3
2013-01-21,8761074.0,9396434.937914748,7820233.596592195,11038843.66132271,False,Historical,2013,1,January,Monday,4
2013-01-22,8320289.0,8642975.026917215,7155590.314892689,10181401.27290254,False,Historical,2013,1,January,Tuesday,4
2013-01-23,7746563.0,8326890.240212456,6687124.229105253,9963427.54884247,False,Historical,2013,1,January,Wednesday,4
2013-01-24,7439836.0,8135346.311716122,6519845.813462923,9711420.663323529,False,Historical,2013,1,January,Thursday,4
2013-01-25,7780789.0,8632062.823726194,6895826.284517314,10197249.221319867,False,Historical,2013,1,January,Friday,4
2013-01-26,5848770.0,6756504.616924799,5051403.821577124,8303916.806297276,False,Historical,2013,1,January,Saturday,4
2013-01-27,142848.0,1085895.2890679105,-478291.0891590183,2656321.1370130414,False,Historical,2013,1,January,Sunday,4
2013-01-28,5878702.0,7145425.831653874,5595032.558988209,8633542.120600427,False,Historical,2013,1,January,Monday,5
2013-01-29,5452668.0,5428633.132074677,3978556.20412316,7046295.5694462145,False,Historical,2013,1,January,Tuesday,5
2013-01-30,5909779.0,5090735.028316457,3484463.626712078,6597861.252717605,False,Historical,2013,1,January,Wednesday,5
2013-01-31,7068567.0,4880484.917550757,3257394.8141509914,6420490.158028892,False,Historical,2013,1,January,Thursday,5
2013-02-01,7203007.0,5375232.31332653,3873187.254678756,7000444.51723657,False,Historical,2013,2,February,Friday,5
2013-02-02,6781741.0,5804696.511193155,4329885.73229298,7465091.119952968,False,Historical,2013,2,February,Saturday,5
2013-02-03,171565.0,82281.27190352259,-1586339.881686593,1685050.625103619,False,Historical,2013,2,February,Sunday,5
2013-02-04,10333651.0,9013991.239490977,7495663.203807694,10693797.58338992,False,Historical,2013,2,February,Monday,6
2013-02-05,8841604.0,8210868.519796355,6582164.932122624,9773290.70374434,False,Historical,2013,2,February,Tuesday,6
2013-02-06,8094803.0,7845190.463076279,6140231.3187032025,9462486.997541063,False,Historical,2013,2,February,Wednesday,6
2013-02-07,7430076.0,7602620.302360883,6012833.2562683,9133828.103561016,False,Historical,2013,2,February,Thursday,6
2013-02-08,7968566.0,8052429.107852546,6304750.090149227,9738060.489259886,False,Historical,2013,2,February,Friday,6
2013-02-09,6161019.0,6051190.901369143,4474078.208028186,7648428.88080026,False,Historical,2013,2,February,Saturday,6
2013-02-10,172564.0,281747.8668664422,-1281332.5858915467,1859479.7941038923,False,Historical,2013,2,February,Sunday,6
2013-02-11,5517060.0,6858685.060075121,5258767.912817726,8507075.818519728,False,Historical,2013,2,February,Monday,7
2013-02-12,5563503.0,6028773.816108593,4492006.429849904,7643066.921197958,False,Historical,2013,2,February,Tuesday,7
2013-02-13,6175147.0,5641319.50008923,3935896.9912763177,7267840.73901751,False,Historical,2013,2,February,Wednesday,7
2013-02-14,6422292.0,5378955.881489366,3780250.488912359,7022866.723248438,False,Historical,2013,2,February,Thursday,7
2013-02-15,6255053.0,5813034.5566404695,4295890.378418145,7376048.8166783415,False,Historical,2013,2,February,Friday,7
2013-02-16,6162142.0,6166203.773037645,4645471.342223441,7738973.5830946285,False,Historical,2013,2,February,Saturday,7
2013-02-17,174467.0,358257.33853659,-1284497.5112888457,1989154.9718940395,False,Historical,2013,2,February,Sunday,7
2013-02-18,10703641.0,9279138.023617717,7656587.060205748,10946626.47017663,False,Historical,2013,2,February,Monday,8
2013-02-19,7988672.0,8434910.39971238,6762481.516649583,10011524.351288825,False,Historical,2013,2,February,Tuesday,8
2013-02-20,7759768.0,8033050.382522226,6352931.218484302,9529745.679727944,False,Historical,2013,2,February,Wednesday,8
2013-02-21,7611880.0,7756158.209936554,6188346.893150107,9405653.07268966,False,Historical,2013,2,February,Thursday,8
2013-02-22,7840974.0,8177954.04507679,6506926.364622089,9788300.790150698,False,Historical,2013,2,February,Friday,8
2013-02-23,5637945.0,6177602.949729269,4493469.8965323735,7774440.656350127,False,Historical,2013,2,February,Saturday,8
2013-02-24,159057.0,328326.2872412171,-1338371.9192795176,1895514.0001803644,False,Historical,2013,2,February,Sunday,8
2013-02-25,5615365.0,6856222.116099824,5203979.945253146,8539127.912774295,False,Historical,2013,2,February,Monday,9
2013-02-26,5671238.0,5987507.341142352,4399622.220136399,7704154.219143973,False,Historical,2013,2,February,Tuesday,9
2013-02-27,6008503.0,5561907.374057605,3885104.6650405843,7179693.878752639,False,Historical,2013,2,February,Wednesday,9
2013-02-28,7108972.0,5260812.290782484,3640925.8181372844,6827310.497294187,False,Historical,2013,2,February,Thursday,9
2013-03-01,7244231.0,5660466.382592874,3995589.8238330786,7224138.946484277,False,Historical,2013,3,March,Friday,9
2013-03-02,6779350.0,6045748.544122304,4522907.340342433,7667404.861994017,False,Historical,2013,3,March,Saturday,9
2013-03-03,195229.0,149028.08219366954,-1461965.4160443428,1822062.758024513,False,Historical,2013,3,March,Sunday,9
2013-03-04,11072682.0,10307655.265235325,8678787.835123152,11994823.713785147,False,Historical,2013,3,March,Monday,10
2013-03-05,8943536.0,9622211.960960286,7998381.68123059,11187810.868731763,False,Historical,2013,3,March,Tuesday,10
2013-03-06,8062941.0,9174561.478990434,7516958.601553828,10797500.645630598,False,Historical,2013,3,March,Wednesday,10
2013-03-07,7981811.0,8852931.777300434,7293187.148948576,10468424.526471918,False,Historical,2013,3,March,Thursday,10
2013-03-08,8118153.0,9236288.181243591,7619872.80050293,10748089.7506195,False,Historical,2013,3,March,Friday,10
2013-03-09,6061383.0,7180826.69975467,5782878.242253027,8821096.295412358,False,Historical,2013,3,March,Saturday,10
2013-03-10,164917.0,1244400.4727995745,-289352.9626293444,2857425.8554598726,False,Historical,2013,3,March,Sunday,10
2013-03-11,6194538.0,7796676.197148649,6277931.279288511,9368835.039740233,False,Historical,2013,3,March,Monday,11
2013-03-12,5338418.0,6886878.690999189,5327245.657416954,8508714.987286892,False,Historical,2013,3,March,Tuesday,11
2013-03-13,5830737.0,6427255.0170583455,4856239.974303299,8039971.719391547,False,Historical,2013,3,March,Wednesday,11
2013-03-14,6098093.0,6097080.415020311,4539273.118256521,7800204.5254114615,False,Historical,2013,3,March,Thursday,11
2013-03-15,6783348.0,6477753.428514312,4750203.328554641,8194041.66382055,False,Historical,2013,3,March,Friday,11
2013-03-16,6459058.0,6841030.390606886,5226205.941791196,8466683.802401736,False,Historical,2013,3,March,Saturday,11
2013-03-17,193072.0,883515.6184034649,-726110.7059193441,2461030.5058247424,False,Historical,2013,3,March,Sunday,11
2013-03-18,10078195.0,9897914.624572953,8307483.506774723,11401164.569206707,False,Historical,2013,3,March,Monday,12
2013-03-19,8528292.0,8994336.085339326,7478544.856788931,10676286.530376548,False,Historical,2013,3,March,Tuesday,12
2013-03-20,7728892.0,8556026.472416496,6976814.6041441485,10151570.363727821,False,Historical,2013,3,March,Wednesday,12
2013-03-21,7897067.0,8238886.545597889,6663078.35867502,9870304.416416444,False,Historical,2013,3,March,Thursday,12
2013-03-22,8245992.0,8637217.981706565,7067065.810205489,10354891.597199999,False,Historical,2013,3,March,Friday,12
2013-03-23,6337911.0,6577959.110138041,4995235.898312455,8225568.936095829,False,Historical,2013,3,March,Saturday,12
2013-03-24,191036.0,618134.0863737811,-964532.7944761936,2284580.8415737743,False,Historical,2013,3,March,Sunday,12
2013-03-25,10482556.0,9945014.397821493,8437842.160805475,11502552.601166803,False,Historical,2013,3,March,Monday,13
2013-03-26,9305505.0,9055672.47395193,7504641.333689206,10659821.178597672,False,Historical,2013,3,March,Tuesday,13
2013-03-27,9674698.0,8622319.784664089,7024658.292521314,10207291.341312928,False,Historical,2013,3,March,Wednesday,13
2013-03-28,11417987.0,8320950.57201574,6709363.667319803,9933000.117772205,False,Historical,2013,3,March,Thursday,13
2013-03-29,213921.0,7309402.571628461,5779522.3796158545,8907497.89450208,False,Historical,2013,3,March,Friday,13
2013-03-30,9380402.0,6419296.164397622,4726267.770891365,7981461.875356606,False,Historical,2013,3,March,Saturday,13
2013-03-31,176418.0,278399.96250195365,-1373525.8246442222,1837407.9751082622,False,Historical,2013,3,March,Sunday,13
2013-04-01,241076.0,5959060.54618926,4362223.471080537,7501275.44114244,False,Historical,2013,4,April,Monday,14
2013-04-02,7362049.0,6500573.8953510355,4946186.630739659,8088731.924763357,False,Historical,2013,4,April,Tuesday,14
2013-04-03,6406442.0,6065975.0670277,4458414.2662729295,7469907.32625544,False,Historical,2013,4,April,Wednesday,14
2013-04-04,6496112.0,5768099.595221898,4248350.2573947245,7364588.927136599,False,Historical,2013,4,April,Thursday,14
2013-04-05,6622062.0,6188772.789336179,4610169.72066787,7792238.910624808,False,Historical,2013,4,April,Friday,14
2013-04-06,6171054.0,6321825.430580722,4641503.243311844,7917392.111324472,False,Historical,2013,4,April,Saturday,14
2013-04-07,189097.0,323556.78072467406,-1254162.4820060045,1851230.4235932273,False,Historical,2013,4,April,Sunday,14
2013-04-08,10115602.0,9502742.512364047,7896752.82763401,11112607.550691346,False,Historical,2013,4,April,Monday,15
2013-04-09,8418477.0,8615034.20865109,6885031.210091912,10228448.366330758,False,Historical,2013,4,April,Tuesday,15
2013-04-10,7698779.0,8152751.380941887,6555720.355669086,9780327.64982832,False,Historical,2013,4,April,Wednesday,15
2013-04-11,7580421.0,7853129.67550998,6312037.4837492835,9412973.910824804,False,Historical,2013,4,April,Thursday,15
2013-04-12,8056347.0,8274982.700046513,6727527.002978023,9785425.408759754,False,Historical,2013,4,April,Friday,15
2013-04-13,6024315.0,6217966.797499959,4607857.40630568,7870940.773504289,False,Historical,2013,4,April,Saturday,15
2013-04-14,182641.0,194980.53641610994,-1428529.1495218494,1889821.6755261158,False,Historical,2013,4,April,Sunday,15
2013-04-15,5711125.0,6908795.393663664,5231976.203317947,8562063.466984112,False,Historical,2013,4,April,Monday,16
2013-04-16,5668517.0,6017688.047220133,4454660.591645079,7569165.3220186755,False,Historical,2013,4,April,Tuesday,16
2013-04-17,5556697.0,5587096.915851084,3993877.7693027006,7261164.601226797,False,Historical,2013,4,April,Wednesday,16
2013-04-18,5726233.0,5289595.296761729,3733105.2149313064,6916735.173741972,False,Historical,2013,4,April,Thursday,16
2013-04-19,6349901.0,5718220.330791144,4168504.591370733,7277868.9627966285,False,Historical,2013,4,April,Friday,16
2013-04-20,6006147.0,6137541.933904345,4526432.770742392,7738872.715270337,False,Historical,2013,4,April,Saturday,16
2013-04-21,188406.0,100629.93832282838,-1456034.3422405429,1537498.4316994604,False,Historical,2013,4,April,Sunday,16
2013-04-22,9542000.0,9333545.932237092,7625082.1543569425,10875440.58247695,False,Historical,2013,4,April,Monday,17
2013-04-23,8047511.0,8453704.432243817,6769214.013136469,10144776.222904103,False,Historical,2013,4,April,Tuesday,17
2013-04-24,7177730.0,8037589.463333346,6389452.37621774,9585007.389836755,False,Historical,2013,4,April,Wednesday,17
2013-04-25,7121467.0,7756207.602061358,6269481.935983294,9291013.0700376,False,Historical,2013,4,April,Thursday,17
2013-04-26,7652433.0,8204648.3188274065,6570745.476835074,10028139.998276806,False,Historical,2013,4,April,Friday,17
2013-04-27,6308284.0,6156697.57822159,4559906.905847913,7708838.869676513,False,Historical,2013,4,April,Saturday,17
2013-04-28,205232.0,113025.27019567987,-1475375.2139333957,1778887.6156106498,False,Historical,2013,4,April,Sunday,17
2013-04-29,10040182.0,9399573.358393008,7834980.928954211,11027092.663707802,False,Historical,2013,4,April,Monday,18
2013-04-30,10565093.0,8532452.924225358,6978239.284306879,10269969.680416003,False,Historical,2013,4,April,Tuesday,18
2013-05-01,200972.0,6665701.383227421,5097811.419999762,8225851.330183725,False,Historical,2013,5,May,Wednesday,18
2013-05-02,9884371.0,7868752.613475256,6292524.872300861,9445808.821118828,False,Historical,2013,5,May,Thursday,18
2013-05-03,8967338.0,8330789.8507032385,6808498.6790057,9853400.549111588,False,Historical,2013,5,May,Friday,18
2013-05-04,6487719.0,6276591.607589647,4829298.168752477,7813632.035735962,False,Historical,2013,5,May,Saturday,18
2013-05-05,200337.0,216287.83382090076,-1374523.7936309953,1774067.9680413213,False,Historical,2013,5,May,Sunday,18
2013-05-06,6884920.0,7051978.75741111,5300493.191114941,8510628.352249488,False,Historical,2013,5,May,Monday,19
2013-05-07,6697752.0,6182013.357192343,4667416.006398862,7823963.956181353,False,Historical,2013,5,May,Tuesday,19
2013-05-08,7693180.0,5775586.912683861,4187629.182130895,7421885.037389475,False,Historical,2013,5,May,Wednesday,19
2013-05-09,233215.0,4032532.9417102505,2429135.7846141243,5675411.889696443,False,Historical,2013,5,May,Thursday,19
2013-05-10,8481406.0,6067367.912172439,4507191.689031398,7610965.081797671,False,Historical,2013,5,May,Friday,19
2013-05-11,6658662.0,6391715.953732865,4794748.001028771,7998888.319127781,False,Historical,2013,5,May,Saturday,19
2013-05-12,215592.0,296483.47606932156,-1296870.4419482336,1856959.1052799884,False,Historical,2013,5,May,Sunday,19
2013-05-13,9826496.0,9663992.281405257,8044515.4100294635,11479442.308524335,False,Historical,2013,5,May,Monday,20
2013-05-14,8662237.0,8777358.462861197,7232740.193898707,10319966.195588935,False,Historical,2013,5,May,Tuesday,20
2013-05-15,7767784.0,8354846.725114811,6697765.654857789,9967358.299937924,False,Historical,2013,5,May,Wednesday,20
2013-05-16,7884887.0,8063613.170369665,6466039.203396626,9618314.58539096,False,Historical,2013,5,May,Thursday,20
2013-05-17,8225841.0,8506028.120710365,6853746.352473976,10023847.854304291,False,Historical,2013,5,May,Friday,20
2013-05-18,6410461.0,6402098.3972470695,4820197.627110138,8089755.005091325,False,Historical,2013,5,May,Saturday,20
2013-05-19,226808.0,266682.42721120943,-1424865.535435007,1881364.080809303,False,Historical,2013,5,May,Sunday,20
2013-05-20,253936.0,5640395.690549016,4097863.448306722,7241168.247675513,False,Historical,2013,5,May,Monday,21
2013-05-21,7204456.0,6419829.241853464,4922663.819935432,8045508.991532485,False,Historical,2013,5,May,Tuesday,21
2013-05-22,6085235.0,5870404.6082825605,4202867.764386415,7513067.050883229,False,Historical,2013,5,May,Wednesday,21
2013-05-23,6209485.0,5546286.7621092945,4024222.425648407,7101041.593108445,False,Historical,2013,5,May,Thursday,21
2013-05-24,6483138.0,5982503.401629077,4284820.475017721,7537902.925172428,False,Historical,2013,5,May,Friday,21
2013-05-25,5806559.0,6336630.3070923695,4632164.807671016,7861372.969917984,False,Historical,2013,5,May,Saturday,21
2013-05-26,201681.0,176671.30078009618,-1393406.0958854882,1763046.2505154337,False,Historical,2013,5,May,Sunday,21
2013-05-27,9944524.0,9660949.950914716,8032812.197868973,11205895.485990081,False,Historical,2013,5,May,Monday,22
2013-05-28,8390312.0,8759664.01507756,7236305.51785897,10380099.791335631,False,Historical,2013,5,May,Tuesday,22
2013-05-29,8885059.0,8331314.717752129,6707601.709437612,9964541.711726166,False,Historical,2013,5,May,Wednesday,22
2013-05-30,3422824.0,7676409.881583719,5920301.024411272,9203723.651907507,False,Historical,2013,5,May,Thursday,22
2013-05-31,10913876.0,8494971.83351688,6903390.524617261,10204308.91618501,False,Historical,2013,5,May,Friday,22
2013-06-01,6907750.0,6332625.785806679,4714631.505285666,7928158.734017208,False,Historical,2013,6,June,Saturday,22
2013-06-02,238144.0,168410.7301551072,-1337302.816828695,1834695.8719475635,False,Historical,2013,6,June,Sunday,22
2013-06-03,10144989.0,9639463.331070438,8066494.003128341,11367135.662758278,False,Historical,2013,6,June,Monday,23
2013-06-04,8526834.0,8757641.739101052,7148470.832424684,10278294.305762788,False,Historical,2013,6,June,Tuesday,23
2013-06-05,7683188.0,8351560.618417206,6811748.722516739,10036019.59640177,False,Historical,2013,6,June,Wednesday,23
2013-06-06,7646668.0,8084217.800215174,6465328.325492982,9829813.92676174,False,Historical,2013,6,June,Thursday,23
2013-06-07,7967656.0,8564689.473905513,6905812.503488975,10109447.60181806,False,Historical,2013,6,June,Friday,23
2013-06-08,5993792.0,6489873.443210131,4846045.981249211,8100849.169125056,False,Historical,2013,6,June,Saturday,23
2013-06-09,226250.0,324766.10888567934,-1352562.9890453452,2032492.1787150893,False,Historical,2013,6,June,Sunday,23
2013-06-10,6667460.0,7304804.1962175295,5686467.568158816,8907458.528913956,False,Historical,2013,6,June,Monday,24
2013-06-11,6201425.0,6438063.079069521,4798450.043093172,7939022.3705824325,False,Historical,2013,6,June,Tuesday,24
2013-06-12,5961024.0,6046808.658142685,4488750.73065825,7642448.071666196,False,Historical,2013,6,June,Wednesday,24
2013-06-13,6044207.0,5792443.710598236,4208871.777244711,7215938.331876993,False,Historical,2013,6,June,Thursday,24
2013-06-14,6887448.0,6286177.7940619625,4620818.0216186615,7888686.935292586,False,Historical,2013,6,June,Friday,24
2013-06-15,6144832.0,6768462.24017741,5154984.457855597,8410834.533513531,False,Historical,2013,6,June,Saturday,24
2013-06-16,225065.0,586688.7653467128,-923941.6437868645,2183775.199566098,False,Historical,2013,6,June,Sunday,24
2013-06-17,10191372.0,10157339.32777123,8579283.296134349,11715141.96244226,False,Historical,2013,6,June,Monday,25
2013-06-18,8100286.0,9290114.353305578,7668566.205581121,10848554.24088262,False,Historical,2013,6,June,Tuesday,25
2013-06-19,7243757.0,8923226.76205918,7342250.841357815,10572035.74210326,False,Historical,2013,6,June,Wednesday,25
2013-06-20,7353311.0,8339383.588276733,6823291.8179156305,9884348.97323542,False,Historical,2013,6,June,Thursday,25
2013-06-21,8406280.0,7658109.450107348,6008811.766565475,9248291.61716469,False,Historical,2013,6,June,Friday,25
2013-06-22,6189413.0,5534370.668198693,3867828.1021994776,7064535.276476802,False,Historical,2013,6,June,Saturday,25
2013-06-23,224608.0,-682142.025807998,-2230358.496727562,987723.4411743481,False,Historical,2013,6,June,Sunday,25
2013-06-24,6511212.0,6410686.127963735,4744141.120718055,7928451.809916462,False,Historical,2013,6,June,Monday,26
2013-06-25,5827831.0,5525174.0852747,4055420.103679263,7088736.119485413,False,Historical,2013,6,June,Tuesday,26
2013-06-26,6028195.0,5115254.676265418,3449824.624721099,6817702.527300938,False,Historical,2013,6,June,Wednesday,26
2013-06-27,6372971.0,4846525.159594552,3140358.092393296,6468790.7835215,False,Historical,2013,6,June,Thursday,26
2013-06-28,7625077.0,5322782.133435459,3689186.4978121766,6887313.252505794,False,Historical,2013,6,June,Friday,26
2013-06-29,6909121.0,5712067.20094589,4122000.378508881,7314526.406835644,False,Historical,2013,6,June,Saturday,26
2013-06-30,252185.0,-542187.3327825976,-2104639.893710995,1145555.8655181287,False,Historical,2013,6,June,Sunday,26
2013-07-01,10750990.0,9150016.276351338,7514954.687126554,10775549.469291693,False,Historical,2013,7,July,Monday,27
2013-07-02,8936605.0,8249861.570570617,6600845.331109443,9792466.119341986,False,Historical,2013,7,July,Tuesday,27
2013-07-03,8416942.0,7827930.751273509,6259386.158548381,9408813.341377228,False,Historical,2013,7,July,Wednesday,27
2013-07-04,8458325.0,7542026.77360808,5977378.469119567,9194709.570661096,False,Historical,2013,7,July,Thursday,27
2013-07-05,8384512.0,8011857.824007157,6345611.919956661,9643444.262485994,False,Historical,2013,7,July,Friday,27
2013-07-06,5927036.0,5847112.673459428,4230342.813051793,7385569.968610051,False,Historical,2013,7,July,Saturday,27
2013-07-07,234369.0,-438120.64737056906,-1884860.7560853772,1093763.5080220422,False,Historical,2013,7,July,Sunday,27
2013-07-08,6652999.0,6698443.71850264,5125948.380738248,8280299.771756831,False,Historical,2013,7,July,Monday,28
2013-07-09,6157174.0,5785989.809353727,4204605.152714365,7374192.810329615,False,Historical,2013,7,July,Tuesday,28
2013-07-10,6248496.0,5354003.525741904,3778935.590262146,6912549.986429598,False,Historical,2013,7,July,Wednesday,28
2013-07-11,6483182.0,5058897.688436302,3354080.627214079,6674752.762528169,False,Historical,2013,7,July,Thursday,28
2013-07-12,6699439.0,5521639.405942285,3908737.0723368633,7065874.585661018,False,Historical,2013,7,July,Friday,28
2013-07-13,5987351.0,5891768.10015772,4281112.040345445,7570819.909071166,False,Historical,2013,7,July,Saturday,28
2013-07-14,253582.0,-425234.5353208168,-2072938.865614715,1137434.2124606543,False,Historical,2013,7,July,Sunday,28
2013-07-15,11484803.0,9377227.398110453,7744894.948266136,11014003.159831252,False,Historical,2013,7,July,Monday,29
2013-07-16,9157994.0,8453440.136652196,6774661.112366291,10030687.99236321,False,Historical,2013,7,July,Tuesday,29
2013-07-17,8269168.0,8010874.261779121,6369852.727362158,9589859.938551577,False,Historical,2013,7,July,Wednesday,29
2013-07-18,8092686.0,7704656.554662979,6094657.060198563,9330630.097025856,False,Historical,2013,7,July,Thursday,29
2013-07-19,8376476.0,8157922.717088197,6762517.436630976,9727483.29963921,False,Historical,2013,7,July,Friday,29
2013-07-20,5941848.0,5862821.59155816,4266056.765435422,7388358.174191828,False,Historical,2013,7,July,Saturday,29
2013-07-21,235211.0,-492711.671508823,-2121052.5100765447,1110283.0471904944,False,Historical,2013,7,July,Sunday,29
2013-07-22,6285621.0,6805861.086977271,5223040.317467984,8423790.401462018,False,Historical,2013,7,July,Monday,30
2013-07-23,5767497.0,5860898.578631091,4365893.200166009,7590859.001697589,False,Historical,2013,7,July,Tuesday,30
2013-07-24,5966755.0,5398431.273185976,3651474.526634247,6926017.8175488785,False,Historical,2013,7,July,Wednesday,30
2013-07-25,6065761.0,6471161.37973058,4873792.602951584,8110589.159834195,False,Historical,2013,7,July,Thursday,30
2013-07-26,6270667.0,7065596.006286375,5626943.781037038,8703277.421261037,False,Historical,2013,7,July,Friday,30
2013-07-27,5448670.0,7255282.284755316,5466909.472577277,8854542.511573678,False,Historical,2013,7,July,Saturday,30
2013-07-28,232442.0,860260.3656692688,-698047.1677723515,2450287.819519446,False,Historical,2013,7,July,Sunday,30
2013-07-29,11299276.0,10811398.301728474,9272790.639591204,12340829.384660296,False,Historical,2013,7,July,Monday,31
