Store,Sales_sum,Sales_mean,Sales_std,Customers_sum,Customers_mean,StoreType_first,Assortment_first,CompetitionDistance_first,Sales_Category
1,3716854,4759.1,1012.11,440523,564.05,c,a,1270.0,Low
2,3883858,4953.9,1610.15,457855,584.0,a,a,570.0,Low
3,5408261,6942.57,2193.38,584310,750.08,a,a,14130.0,Medium
4,7556507,9638.4,1936.03,1036254,1321.75,c,c,620.0,High
5,3642818,4676.27,1765.75,418588,537.34,a,a,29910.0,Low
6,4297758,5509.95,1577.38,495483,635.23,a,a,310.0,Medium
7,6930202,8817.05,2448.62,745569,948.56,a,c,24000.0,High
8,4342857,5539.36,1894.09,516027,658.2,a,a,7520.0,Medium
9,5112061,6562.34,1628.65,451677,579.82,a,c,2030.0,Medium
10,4365642,5568.42,1051.13,465661,593.96,a,a,3160.0,Medium
11,6296286,8030.98,2242.53,885992,1130.09,a,c,960.0,High
12,5950245,7589.6,2055.97,703211,896.95,a,c,1070.0,High
13,3126578,5034.75,1617.51,237740,382.83,d,a,310.0,Medium
14,4291174,5508.57,1479.65,491913,631.47,a,a,1300.0,Medium
15,5231510,6672.84,1625.67,520107,663.4,d,c,4110.0,Medium
16,5967891,7680.68,1904.36,662375,852.48,a,c,3270.0,High
17,4954488,6335.66,2497.62,619090,791.68,a,a,50.0,Medium
18,5130137,6560.28,1783.42,557785,713.28,d,c,13840.0,Medium
19,5036169,6464.92,1842.07,486618,624.67,a,c,3240.0,Medium
20,4801543,7756.94,1695.43,525258,848.56,d,a,2340.0,High
21,4259763,5482.32,1790.77,401213,516.36,c,c,550.0,Medium
22,2801506,4525.86,1140.0,312129,504.25,a,a,1040.0,Low
23,4300299,5520.28,1605.53,375818,482.44,d,a,4060.0,Medium
24,7313475,9388.29,2604.82,650800,835.43,a,c,4590.0,High
25,8376557,11139.04,2862.6,1177772,1566.19,c,a,430.0,Very High
26,5217266,6671.7,2012.8,434849,556.07,d,a,2300.0,Medium
27,7383809,9478.57,2915.38,837237,1074.76,a,a,60.0,High
28,4080950,5293.06,2149.91,448196,581.32,a,a,1200.0,Medium
29,5737160,7364.78,2204.59,509233,653.7,d,c,2170.0,High
30,4114046,5294.78,1542.35,603828,777.13,a,a,40.0,Medium
31,4596143,5862.43,1333.96,459464,586.05,d,c,9800.0,Medium
32,2526117,4067.82,1278.99,296333,477.19,a,a,2910.0,Low
33,6572158,8436.66,1745.39,651485,836.31,a,c,1320.0,High
34,6296685,8031.49,1513.0,778872,993.46,c,a,2240.0,High
35,7558693,9703.07,2998.39,568401,729.65,d,c,7660.0,High
36,5824183,9363.64,1323.59,678178,1090.32,a,c,540.0,High
37,5549053,7114.17,1890.99,609251,781.09,c,a,4230.0,High
38,4677617,6004.64,1811.57,417034,535.35,d,a,1090.0,Medium
39,3780153,4852.57,1864.53,490471,629.62,a,a,260.0,Low
40,3804215,4902.34,1125.84,515125,663.82,a,a,180.0,Low
41,3318407,5335.06,1377.8,247531,397.96,d,c,1180.0,Medium
42,7928768,10178.14,2487.34,856938,1100.05,a,c,290.0,Very High
43,5315050,6822.91,1963.71,475314,610.16,d,a,4880.0,Medium
44,4295144,5478.5,1585.82,501806,640.06,a,a,540.0,Medium
45,4166458,5348.47,1321.45,323582,415.38,d,a,9710.0,Medium
46,3329125,5352.29,1578.75,410832,660.5,c,a,1200.0,Medium
