Year,Week,Sales_sum,Sales_mean,Customers_sum,Customers_mean,Promo_mean
2013,1,40856334,6097.05,4759436,710.26,0.0
2013,2,49275222,7410.92,5226350,786.04,0.83
2013,3,34377765,5166.48,4205743,632.06,0.0
2013,4,46040169,6907.75,4928833,739.51,0.83
2013,5,38466029,5769.62,4507650,676.11,0.0
2013,6,49002283,7345.57,5226639,783.49,0.83
2013,7,36269664,5463.12,4386588,660.73,0.0
2013,8,47701937,7132.47,5069911,758.06,0.83
2013,9,38622888,5770.64,4599662,687.23,0.0
2013,10,50405423,7549.11,5416797,811.26,0.83
2013,11,36897264,5524.37,4421746,662.04,0.0
2013,12,49007385,7321.09,5219063,779.66,0.83
2013,13,50651487,9049.76,5274769,942.43,0.8
2013,14,33487892,5972.52,4041548,720.8,0.0
2013,15,48076582,7194.94,5235438,783.51,0.83
2013,16,35207026,5267.36,4425746,662.14,0.0
2013,17,46054657,6887.19,5084147,760.3,0.83
2013,18,46346012,8271.64,4942919,882.19,0.8
2013,19,36864727,6564.23,4380091,779.93,0.0
2013,20,49004514,7310.83,5339461,796.58,0.83
2013,21,32244490,5734.39,3885987,691.09,0.0
2013,22,48702489,8088.77,5076402,843.12,0.81
2013,23,48189377,7201.04,5288505,790.27,0.83
2013,24,38131461,5693.81,4596183,686.3,0.0
2013,25,47709027,7113.32,5167404,770.45,0.83
2013,26,39526592,5897.73,4615466,688.67,0.0
2013,27,51108779,7636.15,5449622,814.23,0.83
2013,28,38482223,5741.04,4604485,686.93,0.0
2013,29,51558186,7681.49,5411624,806.26,0.83
2013,30,36037413,5365.9,4352176,648.03,0.0
2013,31,55100070,8207.97,5620299,837.23,0.83
2013,32,39095391,5829.04,4663391,695.3,0.0
2013,33,49819520,7590.97,5355030,815.94,0.83
2013,34,35496885,5291.72,4402869,656.36,0.0
2013,35,50439132,7518.13,5369149,800.29,0.83
2013,36,37129023,5545.78,4559236,680.99,0.0
2013,37,50876737,7589.01,5370363,801.07,0.83
2013,38,35143247,5234.32,4386385,653.32,0.0
2013,39,46992990,6991.96,5116953,761.34,0.83
2013,40,36348536,6439.07,4282021,758.55,0.0
2013,41,50483302,7511.28,5325688,792.4,0.83
2013,42,36627672,5449.74,4454067,662.71,0.0
2013,43,46108757,6860.4,5090771,757.44,0.83
2013,44,37281904,6242.78,4415074,739.3,0.0
2013,45,51249958,7641.26,5375244,801.44,0.83
2013,46,38138469,5686.37,4557155,679.46,0.0
2013,47,49971758,7534.95,5274155,795.26,0.83
2013,48,45503907,6784.54,5053410,753.45,0.0
2013,49,60241244,8980.51,5956911,888.03,0.83
2013,50,46115221,6875.69,5184121,772.94,0.0
2013,51,75371329,11219.31,7166027,1066.69,0.83
2013,52,35035735,7749.55,3885715,859.48,0.0
2014,1,39517841,6384.14,4487596,724.98,0.0
2014,2,50734135,7929.69,5277956,824.94,0.82
2014,3,36096897,5402.11,4394843,657.71,0.0
2014,4,48718047,7292.03,5058853,757.2,0.83
2014,5,38687737,5777.74,4525397,675.84,0.0
